Operator, | LeftOperandType, | RightOperandType, | ResultOperandType, | LeftRightMatch, | WorksWithArrays, | ResultEnumIndex, | Unary,
not, | type bool, | type bool, | type bool, | true, | false, | 2, | true,
and, | type bool, | type bool, | type bool, | true, | false, | 2, | false,
or, | type bool, | type bool, | type bool, | true, | false, | 2, | false,
==, | type int, type char, type bool, | type int, type char, type bool, | type bool, | true, | true, | 2, | false,
!=, | type int, type char, type bool, | type int, type char, type bool, | type bool, | true, | true, | 2, | false,
<=, | type int, type char, | type int, type char, | type bool, | false, | false, | 2, | false,
<, | type int, type char, | type int, type char, | type bool, | false, | false, | 2, | false,
>=, | type int, type char, | type int, type char, | type bool, | false, | false, | 2, | false,
>, | type int, type char, | type int, type char, | type bool, | true, | false, | 2, | false,
=, | type int, type char, type bool, | type int, type char, type bool, | type int, type char, type bool, | true, | true, | false, | 1,2,3, | false,
+=, | type int, | type int, | type int, | false, | false, | 1, | false,
-=, | type int, | type int, | type int, | false, | false, | 1, | false,
*=, | type int, | type int, | type int, | false, | false, | 1, | false,
/=, | type int, | type int, | type int, | false, | false, | 1, | false,
--, | type int, | type int, | type int, | false, | false, | 1, | true,
++, | type int, | type int, | type int, | false, | false, | 1, | true,
*, | type int, type char, type bool, | type int, type char, type bool, | type int, | false, | true, | 1, | true,
-, | type int, | type int, | type int, | false, | false, | 1, | true,
?, | type int, | type int, | type int, | false, | false, | 1, | true,
+, | type int, | type int, | type int, | false, | false, | 1, | false,
/, | type int, | type int, | type int, | false, | false, | 1, | false,
%, | type int, | type int, | type int, | false, | false, | 1, | false,
[, | type int, | type int, | type int, | false, | false, | 1, | false,
